,Age,Male,Female
1,0,0.306539691,0.494483936
2,1,0.312849749,0.500094546
3,2,0.319159807,0.505705156
4,3,0.325469865,0.511315766
5,4,0.331779923,0.516926376
6,5,0.338089981,0.522536986
7,6,0.344400039,0.528147596
8,7,0.350710097,0.533758206
9,8,0.357020155,0.539368816
10,9,0.363330213,0.544979426
11,10,0.369640271,0.550590036
12,11,0.375950329,0.556200646
13,12,0.382260387,0.561811256
14,13,0.388570445,0.567421866
15,14,0.394880503,0.573032476
16,15,0.401190562,0.578643086
17,16,0.40750062,0.584253696
18,17,0.413810678,0.589864306
19,18,0.420120736,0.595474916
20,19,0.426430794,0.601085526
21,20,0.432740852,0.606696136
22,21,0.43905091,0.612306746
23,22,0.445360968,0.617917356
24,23,0.451671026,0.623527966
25,24,0.457981084,0.629138576
26,25,0.464291142,0.634749186
27,26,0.4706012,0.640359796
28,27,0.476911258,0.645970405
29,28,0.483221316,0.651581015
30,29,0.489531374,0.657191625
31,30,0.495841432,0.662802235
32,31,0.50215149,0.668412845
33,32,0.508461548,0.674023455
34,33,0.514771606,0.679634065
35,34,0.521081664,0.685244675
36,35,0.527391722,0.690855285
37,36,0.53370178,0.696465895
38,37,0.540011838,0.702076505
39,38,0.546321896,0.707687115
40,39,0.552631954,0.713297725
41,40,0.558942012,0.718908335
42,41,0.56525207,0.724518945
43,42,0.571562128,0.730129555
44,43,0.577872186,0.735740165
45,44,0.584182244,0.741350775
46,45,0.590492302,0.746961385
47,46,0.59680236,0.752571995
48,47,0.603112418,0.758182605
49,48,0.609422476,0.763793215
50,49,0.615732534,0.769403825
51,50,0.622042592,0.775014435
52,51,0.62835265,0.780625045
53,52,0.634662708,0.786235655
54,53,0.640972766,0.791846265
55,54,0.647282824,0.797456875
56,55,0.653592882,0.803067485
57,56,0.65990294,0.808678095
58,57,0.666212998,0.814288705
59,58,0.672523056,0.819899315
60,59,0.678833114,0.825509925
61,60,0.685143172,0.831120535
62,61,0.69145323,0.836731145
63,62,0.697763288,0.842341755
64,63,0.704073346,0.847952365
65,64,0.710383404,0.853562975
66,65,0.716693462,0.859173585
67,66,0.72300352,0.864784195
68,67,0.729313578,0.870394805
69,68,0.735623636,0.876005415
70,69,0.741933694,0.881616025
71,70,0.748243752,0.887226635
72,71,0.75455381,0.892837245
73,72,0.760863868,0.898447855
74,73,0.767173926,0.904058465
75,74,0.773483984,0.909669075
76,75,0.779794042,0.915279685
77,76,0.7861041,0.920890294
78,77,0.792414158,0.926500904
79,78,0.798724216,0.932111514
80,79,0.805034274,0.937722124
81,80,0.811344332,0.943332734
82,81,0.81765439,0.948943344
83,82,0.823964448,0.954553954
84,83,0.830274506,0.960164564
85,84,0.836584564,0.965775174
86,85,0.842894622,0.971385784
87,86,0.84920468,0.976996394
88,87,0.855514738,0.982607004
89,88,0.861824796,0.988217614
90,89,0.868134854,0.993828224
91,90,0.874444912,0.999438834
92,91,0.88075497,1.005049444
93,92,0.887065028,1.010660054
94,93,0.893375086,1.016270664
95,94,0.899685144,1.021881274
96,95,0.905995202,1.027491884
97,96,0.91230526,1.033102494
98,97,0.918615318,1.038713104
99,98,0.924925376,1.044323714
100,99,0.931235434,1.049934324
101,100,0.937545492,1.055544934
102,101,0.94385555,1.061155544
103,102,0.950165608,1.066766154
104,103,0.956475666,1.072376764
105,104,0.962785724,1.077987374
106,105,0.969095782,1.083597984
107,106,0.97540584,1.089208594
108,107,0.981715898,1.094819204
109,108,0.988025956,1.100429814
110,109,0.994336014,1.106040424
111,110,1.000646072,1.111651034
112,111,1.00695613,1.117261644
113,112,1.013266188,1.122872254
114,113,1.019576246,1.128482864
115,114,1.025886304,1.134093474
116,115,1.032196362,1.139704084
117,116,1.03850642,1.145314694
118,117,1.044816478,1.150925304
119,118,1.051126536,1.156535914
120,119,1.057436594,1.162146524
121,120,1.063746652,1.167757134
